,JQ_SF_2018,JQ_SF_2017,JQ_SF_2016_postVFP,JQ_SF_2016_preVFP,total_uncer_2018,total_uncer_2017,total_uncer_2016_postVFP,total_uncer_2016_preVFP
0,0.9979015,1.00046,0.9968824,0.99929994,0.018349428643809007,0.02087219311853542,0.011774167199101435,0.018301627995665506
1,0.9982025,1.0003508,0.9994478,1.0024474,0.024674435867345797,0.03862553622717127,0.019859419700905673,0.01950923683192545
2,0.997837,0.99861246,0.99835426,1.0052292,0.07365364897878014,0.15818351671635758,0.0856109455446915,0.03349887180532189
3,1.0143236,1.014137,1.0086803,1.00266,0.025382376420461497,0.03736056550187023,0.024228426091912152,0.017469485744343222
4,1.0056393,0.99618566,1.0089557,0.99960154,0.015631039064505782,0.03152814586131409,0.02452156113790275,0.019237070184776304
5,0.9862171,0.98951197,0.9937779,0.99329597,0.01729603945159993,0.0318891748107017,0.02139110316556858,0.022383598901423277
6,0.9908227,0.99374485,0.997106,0.9978979,0.02595098651058404,0.03981939079260282,0.02406036917843305,0.016873344856035952
7,0.9880404,0.9932319,0.9946002,0.9960443,0.0681465685662644,0.16295835670973088,0.054086330957536816,0.033341776452269746
8,0.9965376,0.9871853,0.9843029,0.9947419,0.025219769749691704,0.038852498522053115,0.014114809851725472,0.018048635839170307
9,0.99570155,1.0255172,0.98786163,0.99497485,0.018509658099164054,0.019436430872358173,0.01203461220610614,0.01534850608759979
10,0.9891273,0.9909819,0.99303585,0.99361986,0.0043119230174847485,0.010154891638453404,0.0033332932601096194,0.004186180330797869
11,0.9959725,0.9979985,0.99983716,1.0000916,0.017087332187022033,0.016507463785198146,0.017679162126396017,0.008436144545938433
12,0.99375343,0.99892855,0.9993168,1.0034128,0.007592488041976723,0.010509338382065496,0.02604390379098138,0.03256051817288358
13,1.0031188,1.0194132,1.0062537,1.0238703,0.015096810832281874,0.022180719036656683,0.01630312978935656,0.0108612511866701
14,1.0113649,1.0217235,0.9961055,1.0060226,0.015848322796028862,0.02087874188520419,0.018722672394361626,0.015510737828490648
15,0.9950506,0.99217016,0.99896735,0.9965859,0.016078097457355518,0.01967896183120088,0.015239602737139335,0.016154824534476548
16,0.996018,0.9969362,0.99836093,0.9984119,0.015076151745885984,0.015287125241021587,0.014029150676063884,0.011841564862345994
17,0.99075824,0.99151105,0.9919467,0.992653,0.008142352828817758,0.00866005132783112,0.026691834508685678,0.032298350498937346
18,1.0053066,0.9956369,1.0011159,0.9996863,0.016131679662694423,0.015362983283421347,0.013205942028692828,0.01116746677446144
19,0.99971586,1.0091802,0.9916952,1.0068616,0.003986731692710718,0.00912388190954756,0.0038560862611714745,0.005933715464815941
20,0.99816054,0.99849594,0.99960417,0.99881214,0.010694570540419931,0.01351150141216962,0.005960536809910226,0.006975305203112413
21,0.9978622,0.99817455,0.9985983,0.9986182,0.021880992768917668,0.020553536383397512,0.008995341272486516,0.010989055021564248
22,0.9938823,1.0046163,0.9969645,0.99599147,0.00854194153425767,0.065286881002921,0.04187684891337004,0.03275799302058149
23,0.9924947,0.99807775,0.9992602,0.99609804,0.015618277637415409,0.016508796815832127,0.01567250147873161,0.006695648675611153
24,0.99094015,1.0023358,0.9986525,0.9941434,0.01773119729661342,0.029201971764799738,0.01909516346675703,0.018669309852553537
25,0.99896234,0.9978762,1.0002948,0.9978565,0.020836897236013174,0.019094790208259493,0.019112416572858885,0.01875674033767276
26,0.99800175,0.9979317,0.9992326,0.9981536,0.014770923382850598,0.015533027514261314,0.013036558970637586,0.009322929456008463
27,0.9961225,0.9953182,0.9979617,0.99281114,0.008786448447352749,0.05602361447541574,0.031093039577282867,0.0274120188317782
28,1.0022027,0.9926231,1.0046469,0.99865973,0.022607574423272943,0.018370136603690947,0.011205307135627634,0.011623334244022804
29,0.996057,1.0032977,1.0032722,1.0013396,0.007495165479157907,0.007909393837054657,0.007543199039671433,0.006244793068043989
30,0.9957351,0.9949253,0.9960764,0.99412847,0.030641890782188822,0.030376724294242746,0.016757106227722657,0.021119344009142834
31,0.99593437,0.99632776,0.9981675,0.99824834,0.03349696397879589,0.03443684713689241,0.02093785324752645,0.013301815448436383
32,0.99196345,0.9925599,0.99566877,0.99549013,0.08982324992055372,0.04614703260119813,0.06547604445361217,0.055435687786611065
33,1.00142,0.99167705,0.9990876,1.0020415,0.008766072915362754,0.032305864546695304,0.01633638798893816,0.01762002456708442
34,0.99996954,1.0106231,0.99902713,1.0020332,0.012935267744272446,0.01276037488415363,0.00898739751512142,0.016964159470267512
35,0.98530936,0.9819527,0.9980687,0.99201787,0.011170473326771391,0.01260549331016412,0.006828216901188009,0.006642956147823498
36,0.998291,0.99718714,1.0000101,0.99878806,0.010955161330520576,0.035403180935034646,0.012584640563924466,0.016199388288878885
37,0.99660987,0.9964983,1.002142,0.9983695,0.08846915512455295,0.08299130737279774,0.0687822250931925,0.06511175081600373
38,1.0091959,0.9832389,0.99789333,1.0135744,0.01921194787878947,0.019493325894928627,0.021760439765432862,0.014588793927439494
39,1.0032266,1.0106969,0.99710375,1.0034292,0.026397262393409303,0.024245684941507535,0.021642733988241424,0.04543433117489145
40,0.9841992,0.99238646,0.99089414,0.9940706,0.023007772297063054,0.06764000953666646,0.030767272231730737,0.024467239950317125
41,0.98967665,0.9935121,0.9969455,0.9983973,0.024096050761874595,0.06267169647917988,0.0351043081511543,0.052633004972978716
42,0.98772377,0.9951449,0.99234605,0.9955693,0.08564537703169224,0.1991028993112109,0.06381232373040727,0.09209746614715185
43,0.9869285,0.98684126,0.99143946,1.0049757,0.01973908549303974,0.03277387561517976,0.01453725531475363,0.029247249749567772
44,0.99362874,0.99183667,0.973662,0.9896238,0.011286677240022063,0.03510952969189188,0.011035061327309793,0.015146023754661108
45,0.9930715,1.0010959,0.99749714,1.001234,0.012779146819137074,0.05678631285947521,0.011107800106782494,0.014877970937841383
46,0.99702317,0.9994542,0.9992427,1.0013704,0.013946540553166657,0.059353099803977474,0.022345733666498384,0.02222334394441868
47,0.9976874,0.99915946,1.0005537,1.0020908,0.08596428816689217,0.2004501906319773,0.07141433699388577,0.1198459094571
48,1.0020216,1.0083196,0.993743,1.0059983,0.01807427095345464,0.060806738850156535,0.033677191666443174,0.0340722321064887
49,0.9984935,1.0057187,1.0258608,0.99473953,0.03446603938698152,0.06636177510981763,0.02830965386323918,0.02706913213731517
